,Kode,Nama,Jumlah,Harga,Total,Status Penjualan
229,KK0106,AQUA AIR MINERAL  BTL 600mL,43,2500,107500,Sangat Laris
230,KK1892,FANTA STOBERI KLG 250ML,2,5500,11000,Laris
231,KK1057,ULTRA MILK STROBERI 250ML,1,5500,5500,Kurang Laris
232,KK0563,TARO SNACK BARBEQUE  9g,4,1000,4000,Sangat Laris
233,KK1128,TANGO WAFLE CRANCH CHOX,3,500,1500,Laris
234,KK1781,PADIMAS BOLU LAPIS COKLAT,17,500,8500,Sangat Laris
235,KK1132,QTELA BBQ 30G,10,2000,20000,Sangat Laris
236,KK1768,ULTRA MIMI KIDS STRAWBERRY 125ML,6,3000,18000,Sangat Laris
237,KK1410,SARI WANGI SCT,2,1000,2000,Laris
238,KK0723,GARUDA PILUS PDS 85G,2,6000,12000,Laris
239,KK1556,FULLO VANILA MILK 8G,14,500,7000,Sangat Laris
240,KK1803,BENDERA FF COKELAT 560G,1,16000,16000,Kurang Laris
241,KK0093,NUTRISARI JERUK PERAS SCT 14g,5,1500,7500,Sangat Laris
242,KK1811,GAGA MI TELUR A1 KUNING,1,4000,4000,Kurang Laris
243,KK0056,ADEM SARI SCT,3,2000,6000,Laris
244,KK1898,FORTUNE BTL 1L,2,17500,35000,Laris
245,KK0186,ANTANGIN JRG 15mL,17,3000,51000,Sangat Laris
246,KK0541,GG SURYA PRO 16'S,5,21000,105000,Sangat Laris
247,KK1619,MY BABY POWDER SWEET FLORAL 50G,1,3500,3500,Kurang Laris
248,KK1752,TARO 3D POTATO 17G,9,2000,18000,Sangat Laris
249,KK1826,GOODTIME COFFE 72G,2,6500,13000,Laris
250,KK1574,ATTACK PLUS SOFTENER 800G,1,21000,21000,Kurang Laris
251,KK0643,ULTRA JAYA SARI KACANG HIJAU 150ML,3,3000,9000,Laris
252,KK0094,MARLBORO HARDPACK 20'S,3,31000,93000,Laris
253,KK0054,AMPLOP MERPATI TANGGUNG,18,250,4500,Sangat Laris
254,KK0513,TOP WHITE COFFEE,4,1000,4000,Sangat Laris
255,KK0086,ABC KACANG HIJAU 200mL,2,3500,7000,Laris
256,KK1274,EXCEL PINK,9,11000,99000,Sangat Laris
257,KK1467,INDOMIE GORENG JUMBO AYAM PGG,6,4000,24000,Sangat Laris
258,KK0734,TASTY AYAM GEPREK MTH 124G,3,5000,15000,Laris
259,KK1139,SAMPOERNA KRETEK 12 EDISI KHUSUS,5,13500,67500,Sangat Laris
260,KK0691,AQUA GALON 19L,9,18000,162000,Sangat Laris
261,KK1154,AICE COKLAT CRISPY,8,4000,32000,Sangat Laris
262,KK0341,VANISH CAIR 60mL,2,3500,7000,Laris
263,KK1219,MOLTO EDP ELEGANT 10ML,4,500,2000,Sangat Laris
264,KK0471,KODOMO ORANGE 45G,1,5500,5500,Kurang Laris
265,KK0926,KODOMO SAMPO BLUEBERRY 45ML,2,2500,5000,Laris
266,KK1177,KODOMO SIKAT GIGI SOFT,2,3000,6000,Laris
267,KK1567,MARIE SUSU INAFOOD,2,2500,5000,Laris
268,KK1882,HEAD&SHOULDERS ITCH CARE+,2,1000,2000,Laris
269,KK0962,GARAM BATA,7,2500,17500,Sangat Laris
270,KK0407,BETTER SANDWICH BISCUIT 120G,3,7000,21000,Laris
271,KK1507,VIGO SOSIS SAPI,18,500,9000,Sangat Laris
272,KK1246,TOLAK ANGIN ANAK,1,2500,2500,Kurang Laris
273,KK1884,CHITATO KEJU 68G,3,9000,27000,Laris
274,KK1461,ULTRA MILK FULL CREAM 250ML,2,5500,11000,Laris
