Kode,Nama,Jumlah,Harga,Total
KK1458,SUPER BUBUR CUP AYAM,1,6000,6000
KK1714,TARO NET ITALIAN PIZZA 9G,4,1000,4000
KK1894,SUPER BUBUR BURYAM 22G,10,1000,10000
KK0890,JETZ CHOCO FIESTA 12G,11,1000,11000
KK0487,SEDAAP GRG KR SPICY 87g,15,3000,45000
KK1239,AICE JERUK,21,2000,42000
KK1270,ALE ALE STROWBERRY,20,1000,20000
KK1564,BETTER FUN BITES ISI 4 48GR,5,2000,10000
KK0685,CHOCOLATOS PREMIUM STICK,30,500,15000
KK1189,KACANG KORO ORIGINAL 18G,7,1000,7000
KK0686,GERY SALUT COKLAT 7.5G,8,500,4000
KK1037,BODREX,14,500,7000
KK1459,TONG TJI CELUP JASMIN 25S,1,10500,10500
KK0441,RED BOLD 20K,26,20000,520000
KK0444,HOTIN CREAM PUTIH 120G,1,21000,21000
KK0285,INDOMILK UHT KIDS COKELAT 115mL,6,3000,18000
KK0480,SEDAAP MIE AYAM BAWANG PCK 70g,65,2500,162500
KK1586,SEDAAP GORENG SALERO PADANG,9,3000,27000
KK1774,NANO NANO KULIT JERUK 12.5G,28,2000,56000
KK0610,BANGO KECAP MANIS 20ml,4,1000,4000
KK0215,MERRIES L1,13,2500,32500
KK1725,FRUIT TEA BTL PASSION FRUIT 350ML,3,3500,10500
KK1823,NISSIN GEKIKARA RAMEN JAMUR PDS,3,6500,19500
KK1824,NISSIN GEKIKARA GORENG AYAM  PDS,2,6500,13000
KK0689,KALPA WAFER COKLAT KELAPA 24G,7,2000,14000
KK0459,ULTRA  SLIM COKLAT TPK 200mL,6,4500,27000
KK0192,PALMIA MARGARINE SERBA GUNA  PCK 200g,1,4500,4500
KK1719,SIKAT GIGI FORMULA DOUBLE ACTION,3,3000,9000
KK0619,PEPSODENT 190G,3,10500,31500
KK0589,BANGO KECAP MANIS REFILL 10050/10034  PCH 575/550mL,1,24000,24000
KK1301,MAMA LIME CHARCOAL 780ML,2,14000,28000
KK0499,SO KLIN SMART COLOR 800g,4,19000,76000
KK0019,INDOFOOD SAMBAL XTRA PDS BTL 135/140mL,3,5500,16500
KK0957,SAORI SAOS TIRAM 270,1,19000,19000
KK1456,SAMPOERNA A MILD BIRU 16S,20,22500,450000
KK0078,POCARI SWEAT  BTL 350mL,3,5500,16500
KK0935,MAURI PAN,2,3000,6000
KK0803,TOP WAFER CRM CHO,1,8500,8500
KK1312,ABC JUS APEL 250ML,1,6500,6500
KK1785,CHITATO LITE RUMPUT LAUT 35G,2,5500,11000
KK1059,BENDERA FF PUREFARM KETAN HITAM 225ML,5,5500,27500
KK0375,DUA KELINCI KACANG SUKRO OVEN BAWANG PCK 12g,3,1000,3000
KK0974,SIMBA CHOCO CHIP 6G,1,500,500
KK1347,KISS PRAY BLUIS SEMPROT 318ML,2,11500,23000
KK1119,MENARA SEWU 16,1,15000,15000
KK0850,ULTRA JAYA SARI ASEM 250ML,6,5000,30000
KK0110,GOOD TIME  72G DOUBLE CHOC CCHIPS,2,6500,13000
KK1835,WISKAS PCH 1+ OCEAN FISH 80G,2,7000,14000
KK0861,GULA KACANG MERBABU,4,10000,40000
KK0479,SEDAAP MIE GORENG PCK 90g,69,2500,172500
KK1269,SEDAAP MIE SINGAPORE SPICY LAKSA,20,2500,50000
KK0007,INDOMIE GORENG PLUS SPECIAL 80g,45,3000,135000
KK0446,ANDALAN FILTER 12,45,11500,517500
KK0558,DJI SAM SOE  KRETEK  (PCS)  BKS 12'S,10,17000,170000
KK0114,ABC BATTERY BIRU R6 4'S  PCK,10,2500,25000
KK0177,LA LIGHT 16'S,2,23000,46000
KK0005,INDOMIE SOTO MIE 70g,30,3000,90000
KK0144,KAPAL API  SPECIAL PCK 165g,11,11500,126500
KK0184,DJARUM SUPER  FILTER MILD BLACK BKS 12'S,2,17000,34000
KK0183,DJARUM 76 KRETEK 12'S,16,14000,224000
KK0684,RAMBAK JANGAN PAK,1,17000,17000
KK0263,SALONPAS KOYO,3,7000,21000
KK0337,FORTUNE MINYAK GORENG 1L,26,17500,455000
KK1259,NABATI RICHEESE BLACK,3,2000,6000
KK1877,SASA SANTAN BUBUK 20G,7,2000,14000
KK0835,KRUPUK,44,2000,88000
